2017-11-02,1.44,1.62,1.15,1.19,17365,-,1.39
2017-11-03,1.19,3.13,1.18,2.16,50171,-,2.15
2017-11-04,2.54,3.14,2.03,3.01,19611,-,2.58
2017-11-05,3.01,5.74,2.72,4.72,49392,-,4.23
2017-11-06,4.73,5.12,4.31,4.64,32530,-,4.71
2017-11-07,4.59,4.81,3.02,4.44,36173,-,3.92
2017-11-08,4.43,5.92,3.74,4.29,33532,-,4.83
2017-11-09,4.28,5.65,4.15,5.65,29576,-,4.90
2017-11-10,5.66,10.43,5.27,8.37,199843,-,7.85
2017-11-11,8.34,8.92,5.54,6.37,93679,108471000,7.23
2017-11-12,6.37,7.19,5.10,5.92,82816,82809300,6.14
2017-11-13,5.92,7.72,5.66,6.51,45409,77012000,6.69
2017-11-14,6.53,7.41,5.94,6.09,45366,19578300,6.68
2017-11-15,6.09,7.42,6.09,6.90,56554,18284100,6.75
2017-11-16,6.93,8.87,6.65,7.81,62654,20788600,7.76
2017-11-17,7.45,8.46,7.45,8.27,44884,22337600,7.96
2017-11-18,8.24,10.86,7.36,10.86,101107,24718100,9.11
2017-11-19,11.07,13.34,9.58,12.25,214970,33203700,11.46
2017-11-20,12.22,13.53,11.32,12.03,111522,36671100,12.43
2017-11-21,12.03,12.36,10.69,12.36,94387,36081900,11.52
2017-11-22,12.31,12.47,9.73,11.44,87032,36941400,11.10
2017-11-23,11.44,12.14,10.61,11.68,80117,34323800,11.38
2017-11-24,11.66,12.54,10.76,12.53,134562,34981400,11.65
2017-11-25,12.34,13.17,11.95,12.74,73659,37029800,12.56
2017-11-26,12.74,13.71,12.30,12.95,71370,38217700,13.01
2017-11-27,13.48,17.17,13.08,17.15,223252,40446700,15.12
2017-11-28,17.19,28.52,15.84,23.55,786988,51576800,22.18
2017-11-29,22.87,29.44,20.34,22.09,423532,68613200,24.89
2017-11-30,22.42,29.76,21.49,25.10,339668,67247700,25.62
2017-12-01,24.98,33.92,24.96,31.62,298192,74944100,29.44
2017-12-02,31.60,49.66,30.86,43.89,845375,94795000,40.26
2017-12-03,43.15,70.31,42.69,49.31,1259840,129452000,56.50
2017-12-04,52.14,58.39,28.23,44.27,829176,156429000,43.31
2017-12-05,45.45,47.36,36.43,41.68,386734,136346000,41.89
2017-12-06,41.59,42.14,23.56,25.35,480133,124781000,32.85
2017-12-07,25.40,33.34,18.39,24.91,244377,76192700,25.87
2017-12-08,24.97,47.27,18.35,32.63,404923,74902400,32.81
2017-12-09,31.76,37.89,27.67,31.33,239751,95276700,32.78
2017-12-10,31.53,31.76,24.24,26.83,216072,94595600,28.00
2017-12-11,26.67,31.12,24.29,26.39,196376,80000900,27.70
2017-12-12,27.90,28.83,25.81,26.55,174641,83688000,27.32
2017-12-13,26.57,31.08,24.70,28.60,260143,79696500,27.89
2017-12-14,28.54,38.32,28.04,36.46,284076,85608700,33.18
2017-12-15,37.57,41.67,27.39,33.29,330649,112723000,34.53
2017-12-16,33.33,36.03,32.16,33.85,135518,99992400,34.09
2017-12-17,33.85,35.95,29.55,31.64,140659,101559000,32.75
2017-12-18,31.72,34.17,29.52,30.37,141424,95145900,31.84
2017-12-19,30.40,34.89,22.87,25.30,401084,91197100,28.88
2017-12-20,25.28,28.04,21.31,24.89,137987,75838200,24.67
2017-12-21,26.38,27.72,22.55,23.18,71914,79129100,25.13
2017-12-22,22.65,26.34,16.71,22.58,136920,67956300,21.52
2017-12-23,22.77,26.08,22.53,22.65,67568,68297700,24.30
2017-12-24,22.87,23.91,19.71,21.13,83955,68619800,21.81
2017-12-25,21.31,22.59,19.37,19.99,138053,63932800,20.98
2017-12-26,19.97,23.24,19.70,20.78,106455,59916800,21.47
2017-12-27,20.79,21.49,16.21,17.58,149335,62383100,18.85
2017-12-28,17.55,19.81,15.28,17.21,103425,52642900,17.54
2017-12-29,17.09,20.33,16.93,17.80,133199,51267200,18.63
2017-12-30,17.77,19.00,15.23,18.98,107227,53304900,17.12
2017-12-31,18.81,20.81,17.17,18.91,100546,56444400,18.99
2018-01-01,18.96,19.61,17.80,19.56,40414,56869200,18.70
2018-01-02,19.57,23.59,18.40,22.04,194872,58712700,20.99
2018-01-03,21.98,26.36,19.43,23.85,226949,65951400,22.89
2018-01-04,23.96,28.90,21.32,24.43,163769,71869600,25.11
2018-01-05,23.63,27.35,22.53,25.52,139129,70878700,24.94
2018-01-06,25.54,27.79,24.38,26.19,207731,76621800,26.09
2018-01-07,26.05,26.06,23.74,24.11,117935,78139700,24.90
2018-01-08,24.10,31.05,22.68,24.50,136203,72296500,26.87
2018-01-09,24.44,25.79,23.59,23.71,110788,73317900,24.69
2018-01-10,23.72,26.94,22.38,25.56,112933,71151800,24.66
2018-01-11,25.53,26.14,22.25,24.25,85897,76589100,24.20
2018-01-12,24.32,29.15,23.72,28.17,222126,72948600,26.43
2018-01-13,28.61,32.42,27.67,30.86,133054,85818500,30.05
2018-01-14,32.08,34.23,26.83,27.06,114125,96249800,30.53
2018-01-15,27.06,33.29,27.05,32.18,130794,81187300,30.17
2018-01-16,32.21,32.68,23.92,26.10,128498,96640400,28.30
2018-01-17,24.87,31.73,16.95,25.73,138631,74606400,24.34
2018-01-18,25.38,30.27,21.47,27.27,146150,76129200,25.87
2018-01-19,27.02,28.85,22.15,24.35,99422,81071800,25.50
2018-01-20,24.56,28.05,22.94,25.63,131561,73672900,25.50
